Month-Year,avg_sales,median_sales,std_sales
Apr-2015,177.92,163.97,100.38
Apr-2016,176.67,158.37,102.52
Apr-2017,178.88,163.77,102.07
Aug-2015,175.46,156.57,101.31
Aug-2016,176.68,159.99,101.48
Aug-2017,187.84,169.99,100.76
Dec-2015,176.97,159.99,101.75
Dec-2016,176.91,159.96,101.82
Dec-2017,213.16,161.87,279.49
Feb-2015,176.15,159.99,99.25
Feb-2016,177.79,161.91,101.59
Feb-2017,181.8,167.37,101.72
Jan-2015,177.64,163.96,101.24
Jan-2016,176.84,159.99,102.49
Jan-2017,177.4,159.99,101.45
Jan-2018,140.34,80.18,125.17
Jul-2015,176.06,159.98,100.04
Jul-2016,177.04,160.0,101.17
Jul-2017,186.62,167.99,99.91
Jun-2015,179.24,163.93,101.81
Jun-2016,178.36,159.97,102.3
Jun-2017,187.32,168.0,100.73
Mar-2015,176.06,159.99,100.18
Mar-2016,176.87,159.98,101.53
Mar-2017,176.23,159.98,100.24
May-2015,176.21,158.37,102.34
May-2016,174.46,159.99,99.01
May-2017,186.8,168.0,98.98
Nov-2015,176.62,159.99,102.19
Nov-2016,180.65,163.99,103.87
Nov-2017,274.16,240.24,130.58
Oct-2015,177.88,160.99,101.73
Oct-2016,174.49,158.37,99.18
Oct-2017,428.42,339.03,435.73
Sep-2015,177.92,159.99,100.96
Sep-2016,174.49,156.76,100.72
Sep-2017,197.94,179.97,114.15
