Month-Year,avg_delay,min_delay,max_delay
Apr-2015,0.55,-2,4
Apr-2016,0.58,-2,4
Apr-2017,0.57,-2,4
Aug-2015,0.6,-2,4
Aug-2016,0.52,-2,4
Aug-2017,0.61,-2,4
Dec-2015,0.57,-2,4
Dec-2016,0.55,-2,4
Dec-2017,0.58,-2,4
Feb-2015,0.6,-2,4
Feb-2016,0.55,-2,4
Feb-2017,0.59,-2,4
Jan-2015,0.54,-2,4
Jan-2016,0.6,-2,4
Jan-2017,0.54,-2,4
Jan-2018,0.61,-2,4
Jul-2015,0.57,-2,4
Jul-2016,0.53,-2,4
Jul-2017,0.58,-2,4
Jun-2015,0.54,-2,4
Jun-2016,0.64,-2,4
Jun-2017,0.52,-2,4
Mar-2015,0.57,-2,4
Mar-2016,0.56,-2,4
Mar-2017,0.56,-2,4
May-2015,0.56,-2,4
May-2016,0.59,-2,4
May-2017,0.54,-2,4
Nov-2015,0.56,-2,4
Nov-2016,0.58,-2,4
Nov-2017,0.58,-2,4
Oct-2015,0.54,-2,4
Oct-2016,0.57,-2,4
Oct-2017,0.54,-2,4
Sep-2015,0.58,-2,4
Sep-2016,0.57,-2,4
Sep-2017,0.53,-2,4
