Month-Year,late_risk_pct
Apr-2015,53.84
Apr-2016,55.23
Apr-2017,53.78
Aug-2015,55.68
Aug-2016,55.27
Aug-2017,56.44
Dec-2015,54.68
Dec-2016,56.06
Dec-2017,55.18
Feb-2015,54.85
Feb-2016,54.15
Feb-2017,54.67
Jan-2015,54.11
Jan-2016,55.58
Jan-2017,53.61
Jan-2018,56.29
Jul-2015,55.46
Jul-2016,51.93
Jul-2017,54.78
Jun-2015,54.11
Jun-2016,56.85
Jun-2017,53.5
Mar-2015,54.76
Mar-2016,55.76
Mar-2017,55.26
May-2015,55.09
May-2016,55.66
May-2017,53.47
Nov-2015,54.27
Nov-2016,54.63
Nov-2017,55.09
Oct-2015,54.81
Oct-2016,54.78
Oct-2017,53.66
Sep-2015,56.69
Sep-2016,54.98
Sep-2017,54.23
