Product Name,Profit,Sales,Quantity,profit_margin_pct,ranking
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",63.84,127.68,16,50.0,Top 10
Avery 475,88.8,177.6,12,50.0,Top 10
Brown Kraft Recycled Envelopes,59.43,118.86,7,50.0,Top 10
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,1995.99,3991.98,2,50.0,Top 10
"Peel & Seel Recycled Catalog Envelopes, Brown",11.58,23.16,2,50.0,Top 10
Prang Dustless Chalk Sticks,15.959999999999999,31.919999999999998,19,50.0,Top 10
Southworth Structures Collection,10.92,21.84,3,50.0,Top 10
Xerox 1890,73.41,146.82,3,50.0,Top 10
Xerox 1942,195.76,391.52,8,50.0,Top 10
Ativa V4110MDD Micro-Cut Shredder,2400.9657,4899.93,7,49.0,Top 10
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,-4.466,1.624,2,-275.0,Bottom 10
Hoover Commercial Lightweight Upright Vacuum,-3.7584,1.392,2,-270.0,Bottom 10
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,-191.619,70.97,5,-270.0,Bottom 10
Tripp Lite TLP810NET Broadband Surge for Modem/Fax,-53.0088,20.388,2,-260.0,Bottom 10
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,-56.0592,21.984,6,-255.0,Bottom 10
APC 7 Outlet Network SurgeArrest Surge Protector,-241.44,96.576,6,-250.0,Bottom 10
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",-190.8522,90.882,3,-210.0,Bottom 10
"Avery Flip-Chart Easel Binder, Black",-14.7708,8.952,2,-165.0,Bottom 10
GBC Standard Plastic Binding Systems Combs,-5.487,3.54,2,-155.0,Bottom 10
Ibico EPK-21 Electric Binding System,-2929.4845,1889.99,5,-155.0,Bottom 10
