month,total_revenue,order_count,avg_profit,prev_month_revenue,mom_growth_pct
2014-12-31 18:30:00+00:00,1051590.06,5322,20.98,,
2015-01-31 18:30:00+00:00,927009.88,4729,20.96,1051590.06,-11.85
2015-02-28 18:30:00+00:00,1051253.67,5362,21.22,927009.88,13.4
2015-03-31 18:30:00+00:00,1014463.26,5126,21.09,1051253.67,-3.5
2015-04-30 18:30:00+00:00,1050478.42,5357,20.93,1014463.26,3.55
2015-05-31 18:30:00+00:00,1024006.15,5134,21.45,1050478.42,-2.52
2015-06-30 18:30:00+00:00,1038081.17,5299,21.82,1024006.15,1.37
2015-07-31 18:30:00+00:00,1029494.67,5273,22.37,1038081.17,-0.83
2015-08-31 18:30:00+00:00,1018338.58,5140,22.08,1029494.67,-1.08
2015-09-30 18:30:00+00:00,1049154.25,5302,19.19,1018338.58,3.03
2015-10-31 18:30:00+00:00,1029120.22,5235,19.95,1049154.25,-1.91
2015-11-30 18:30:00+00:00,1057840.86,5371,20.6,1029120.22,2.79
2015-12-31 18:30:00+00:00,1046308.23,5317,20.08,1057840.86,-1.09
2016-01-31 18:30:00+00:00,968542.83,4894,17.74,1046308.23,-7.43
2016-02-29 18:30:00+00:00,1025853.1,5210,19.44,968542.83,5.92
2016-03-31 18:30:00+00:00,1001211.56,5097,22.56,1025853.1,-2.4
2016-04-30 18:30:00+00:00,1029400.18,5302,20.88,1001211.56,2.82
2016-05-31 18:30:00+00:00,1003059.53,5054,20.62,1029400.18,-2.56
2016-06-30 18:30:00+00:00,1045715.6,5305,22.61,1003059.53,4.25
2016-07-31 18:30:00+00:00,1048200.23,5334,20.76,1045715.6,0.24
2016-08-31 18:30:00+00:00,1002397.02,5160,23.91,1048200.23,-4.37
2016-09-30 18:30:00+00:00,1048130.53,5398,21.63,1002397.02,4.56
2016-10-31 18:30:00+00:00,1047590.12,5210,21.02,1048130.53,-0.05
2016-11-30 18:30:00+00:00,1037408.15,5269,19.93,1047590.12,-0.97
2016-12-31 18:30:00+00:00,1029698.0,5217,22.01,1037408.15,-0.74
2017-01-31 18:30:00+00:00,992534.88,4906,23.46,1029698.0,-3.61
2017-02-28 18:30:00+00:00,1048004.76,5347,22.2,992534.88,5.59
2017-03-31 18:30:00+00:00,1038321.6,5212,22.25,1048004.76,-0.92
2017-04-30 18:30:00+00:00,1105485.3,5317,21.63,1038321.6,6.47
2017-05-31 18:30:00+00:00,1032086.47,4951,22.3,1105485.3,-6.64
2017-06-30 18:30:00+00:00,1104373.34,5318,21.25,1032086.47,7.0
2017-07-31 18:30:00+00:00,1109337.15,5305,24.79,1104373.34,0.45
2017-08-31 18:30:00+00:00,1143775.09,5189,23.6,1109337.15,3.1
2017-09-30 18:30:00+00:00,1073994.16,2255,50.31,1143775.09,-6.1
2017-10-31 18:30:00+00:00,626914.37,2055,32.99,1073994.16,-41.63
2017-11-30 18:30:00+00:00,503910.81,2124,31.0,626914.37,-19.62
2017-12-31 18:30:00+00:00,331650.11,2123,15.94,503910.81,-34.18
